image_path,class_label,split,width,height,brightness
O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (1)_12.jpg,Normal_Sperm,train,155,165,103.55773216031281
O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (1)_7.jpg,Normal_Sperm,train,155,165,108.61153470185728
O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (10)_4.jpg,Normal_Sperm,train,170,166,96.55679187337586
O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (100)_10.jpg,Normal_Sperm,train,165,156,87.1394845894846
O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (100)_12.jpg,Normal_Sperm,train,165,156,87.1394845894846
O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (1000)_1.jpg,Normal_Sperm,train,177,153,100.70771635710153
O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (1000)_12.jpg,Normal_Sperm,train,177,153,100.70771635710153
O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (1000)_3.jpg,Normal_Sperm,train,177,153,100.70771635710153
O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (1001)_8.jpg,Normal_Sperm,train,173,161,157.91195442741056
O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (1002)_11.jpg,Normal_Sperm,train,159,163,206.49538912682794
O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (1002)_3.jpg,Normal_Sperm,train,159,163,96.07094442515209
O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (1004)_10.jpg,Normal_Sperm,train,166,173,111.52429370661838
O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (1004)_9.jpg,Normal_Sperm,train,166,173,176.20112821227104
O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (1005)_4.jpg,Normal_Sperm,train,171,164,74.55618551799553
O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (1005)_8.jpg,Normal_Sperm,train,171,164,161.857711691152
O:\O drive\AI\my project\medical image projects\Sperm Morphology Colorized\Dataset\archive (1)\dataset\train\Normal_Sperm\Normal_Sperm (1005)_9.jpg,Normal_Sperm,train,171,164,163.2689701897019
