train_loss,val_loss,val_accuracy,val_f1
0.5678328105608622,0.5975870777169864,0.7916666666666666,0.86938992281457
0.42788929319381713,0.3195588099956512,0.8916666666666667,0.9386354615120056
0.3676536992390951,0.37199678480625153,0.865,0.916693171599228
0.343968398809433,0.319194869796435,0.89,0.934861024312227
0.29263944951693216,0.2747115558385849,0.895,0.9381290769507363
0.282113690217336,0.2840102928876877,0.9066666666666666,0.9463693473128886
0.2697279770771662,0.29731641173362733,0.905,0.9465504277846571
0.27105916595458984,0.2873174961904685,0.9016666666666666,0.9443922937731429
0.26618113696575163,0.28842828164498013,0.9066666666666666,0.9448706019509278
0.21399347631136575,0.24221945961316427,0.9183333333333333,0.9539336503162834
0.17498387495676676,0.2548678228755792,0.9233333333333333,0.9563272795131985
0.15086936475833257,0.2951182719071706,0.8983333333333333,0.9401421071307641
0.15041649238268534,0.2494934406131506,0.9233333333333333,0.9546997398750803
0.13991174946228663,0.22519326273351908,0.94,0.9668548551215046
0.12804089095195134,0.253332285558184,0.945,0.9695166061940504
0.1162181517680486,0.3095538594325383,0.915,0.9506212451463302
0.11450128737092018,0.28063912394456564,0.9383333333333334,0.9650566283400722
0.12985158850749334,0.262040231321007,0.9383333333333334,0.9637377245121286
0.09579317974547545,0.26916689491209883,0.94,0.9653703538302684
0.08065042864779631,0.28120590053421135,0.9366666666666666,0.9634086680065135
0.082582987104853,0.26544105608016255,0.9433333333333334,0.9671579601953467
0.08368542717397214,0.25655343282812587,0.9366666666666666,0.9642157650140295
0.06347228906551997,0.2522306113274923,0.95,0.9721423326230556
0.06655539242426554,0.2630225016766538,0.9483333333333334,0.9704447006449926
